field_name	field_location	data_type	units	field_description	allowable_enumeration
out.emissions.electricity.exterior_lighting.egrid_2020_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using egrid 2020 subregion emissions intensity	""
out.emissions.electricity.exterior_lighting.egrid_2021_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using egrid 2021 state emissions intensity	""
out.emissions.electricity.exterior_lighting.egrid_2021_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using egrid 2021 subregion emissions intensity	""
out.emissions.electricity.exterior_lighting.lrmer_95_decarb_by_2035_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2023	""
out.emissions.electricity.exterior_lighting.lrmer_95_decarb_by_2035_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2025	""
out.emissions.electricity.exterior_lighting.lrmer_95_decarb_by_2035_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 25 years starting in 2025	""
out.emissions.electricity.exterior_lighting.lrmer_95_decarb_by_2035_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 30 years starting in 2023	""
out.emissions.electricity.exterior_lighting.lrmer_95_decarb_by_2050_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 15 years starting in 2023	""
out.emissions.electricity.exterior_lighting.lrmer_95_decarb_by_2050_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 30 years starting in 2023	""
out.emissions.electricity.exterior_lighting.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_high_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.exterior_lighting.lrmer_high_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_high_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.exterior_lighting.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.exterior_lighting.lrmer_low_re_cost_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2025	""
out.emissions.electricity.exterior_lighting.lrmer_low_re_cost_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_low_re_cost levelized over 25 years starting in 2025	""
out.emissions.electricity.exterior_lighting.lrmer_low_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_low_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.exterior_lighting.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2023	""
out.emissions.electricity.exterior_lighting.lrmer_mid_case_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2025	""
out.emissions.electricity.exterior_lighting.lrmer_mid_case_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_mid_case levelized over 25 years starting in 2025	""
out.emissions.electricity.exterior_lighting.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the exterior_lighting end use, using Cambium 2022 lrmer_mid_case levelized over 30 years starting in 2023	""
out.emissions.electricity.heating.aer_95_decarb_by_2035_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 aer_95_decarb_by_2035 non-levelized values from 2023	""
out.emissions.electricity.heating.aer_95_decarb_by_2050_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 aer_95_decarb_by_2050 non-levelized values from 2023	""
out.emissions.electricity.heating.aer_high_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 aer_high_re_cost non-levelized values from 2023	""
out.emissions.electricity.heating.aer_low_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 aer_low_re_cost non-levelized values from 2023	""
out.emissions.electricity.heating.aer_mid_case_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 aer_mid_case non-levelized values from 2023	""
out.emissions.electricity.heating.egrid_2018_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using egrid 2018 state emissions intensity	""
out.emissions.electricity.heating.egrid_2018_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using egrid 2018 subregion emissions intensity	""
out.emissions.electricity.heating.egrid_2019_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using egrid 2019 state emissions intensity	""
out.emissions.electricity.heating.egrid_2019_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using egrid 2019 subregion emissions intensity	""
out.emissions.electricity.heating.egrid_2020_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using egrid 2020 state emissions intensity	""
out.emissions.electricity.heating.egrid_2020_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using egrid 2020 subregion emissions intensity	""
out.emissions.electricity.heating.egrid_2021_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using egrid 2021 state emissions intensity	""
out.emissions.electricity.heating.egrid_2021_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using egrid 2021 subregion emissions intensity	""
out.emissions.electricity.heating.lrmer_95_decarb_by_2035_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2023	""
out.emissions.electricity.heating.lrmer_95_decarb_by_2035_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2025	""
out.emissions.electricity.heating.lrmer_95_decarb_by_2035_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 25 years starting in 2025	""
out.emissions.electricity.heating.lrmer_95_decarb_by_2035_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 30 years starting in 2023	""
out.emissions.electricity.heating.lrmer_95_decarb_by_2050_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 15 years starting in 2023	""
out.emissions.electricity.heating.lrmer_95_decarb_by_2050_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 30 years starting in 2023	""
out.emissions.electricity.heating.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_high_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.heating.lrmer_high_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_high_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.heating.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.heating.lrmer_low_re_cost_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2025	""
out.emissions.electricity.heating.lrmer_low_re_cost_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_low_re_cost levelized over 25 years starting in 2025	""
out.emissions.electricity.heating.lrmer_low_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_low_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.heating.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2023	""
out.emissions.electricity.heating.lrmer_mid_case_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2025	""
out.emissions.electricity.heating.lrmer_mid_case_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_mid_case levelized over 25 years starting in 2025	""
out.emissions.electricity.heating.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating end use, using Cambium 2022 lrmer_mid_case levelized over 30 years starting in 2023	""
out.emissions.electricity.interior_equipment.aer_95_decarb_by_2035_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 aer_95_decarb_by_2035 non-levelized values from 2023	""
out.emissions.electricity.interior_equipment.aer_95_decarb_by_2050_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 aer_95_decarb_by_2050 non-levelized values from 2023	""
out.emissions.electricity.interior_equipment.aer_high_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 aer_high_re_cost non-levelized values from 2023	""
out.emissions.electricity.interior_equipment.aer_low_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 aer_low_re_cost non-levelized values from 2023	""
out.emissions.electricity.interior_equipment.aer_mid_case_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 aer_mid_case non-levelized values from 2023	""
out.emissions.electricity.interior_equipment.egrid_2018_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using egrid 2018 state emissions intensity	""
out.emissions.electricity.interior_equipment.egrid_2018_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using egrid 2018 subregion emissions intensity	""
out.emissions.electricity.interior_equipment.egrid_2019_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using egrid 2019 state emissions intensity	""
out.emissions.electricity.interior_equipment.egrid_2019_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using egrid 2019 subregion emissions intensity	""
out.emissions.electricity.interior_equipment.egrid_2020_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using egrid 2020 state emissions intensity	""
out.emissions.electricity.interior_equipment.egrid_2020_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using egrid 2020 subregion emissions intensity	""
out.emissions.electricity.interior_equipment.egrid_2021_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using egrid 2021 state emissions intensity	""
out.emissions.electricity.interior_equipment.egrid_2021_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using egrid 2021 subregion emissions intensity	""
out.emissions.electricity.interior_equipment.lrmer_95_decarb_by_2035_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2023	""
out.emissions.electricity.interior_equipment.lrmer_95_decarb_by_2035_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2025	""
out.emissions.electricity.interior_equipment.lrmer_95_decarb_by_2035_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 25 years starting in 2025	""
out.emissions.electricity.interior_equipment.lrmer_95_decarb_by_2035_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 30 years starting in 2023	""
out.emissions.electricity.interior_equipment.lrmer_95_decarb_by_2050_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 15 years starting in 2023	""
out.emissions.electricity.interior_equipment.lrmer_95_decarb_by_2050_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 30 years starting in 2023	""
out.emissions.electricity.interior_equipment.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_high_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.interior_equipment.lrmer_high_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_high_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.interior_equipment.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.interior_equipment.lrmer_low_re_cost_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2025	""
out.emissions.electricity.interior_equipment.lrmer_low_re_cost_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_low_re_cost levelized over 25 years starting in 2025	""
out.emissions.electricity.interior_equipment.lrmer_low_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_low_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.interior_equipment.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2023	""
out.emissions.electricity.interior_equipment.lrmer_mid_case_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2025	""
out.emissions.electricity.interior_equipment.lrmer_mid_case_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_mid_case levelized over 25 years starting in 2025	""
out.emissions.electricity.interior_equipment.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment end use, using Cambium 2022 lrmer_mid_case levelized over 30 years starting in 2023	""
out.emissions.electricity.interior_equipment_fuel_oil_ghg_emissions	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment_fuel_oil_ghg_emissions	""
out.emissions.electricity.interior_equipment_natural_gas_ghg_emissions	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment_natural_gas_ghg_emissions	""
out.emissions.electricity.interior_equipment_propane_ghg_emissions	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_equipment_propane_ghg_emissions	""
out.emissions.electricity.interior_lighting.aer_95_decarb_by_2035_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 aer_95_decarb_by_2035 non-levelized values from 2023	""
out.emissions.electricity.interior_lighting.aer_95_decarb_by_2050_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 aer_95_decarb_by_2050 non-levelized values from 2023	""
out.emissions.electricity.interior_lighting.aer_high_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 aer_high_re_cost non-levelized values from 2023	""
out.emissions.electricity.interior_lighting.aer_low_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 aer_low_re_cost non-levelized values from 2023	""
out.emissions.electricity.interior_lighting.aer_mid_case_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 aer_mid_case non-levelized values from 2023	""
out.emissions.electricity.interior_lighting.egrid_2018_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using egrid 2018 state emissions intensity	""
out.emissions.electricity.interior_lighting.egrid_2018_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using egrid 2018 subregion emissions intensity	""
out.emissions.electricity.interior_lighting.egrid_2019_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using egrid 2019 state emissions intensity	""
out.emissions.electricity.interior_lighting.egrid_2019_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using egrid 2019 subregion emissions intensity	""
out.emissions.electricity.interior_lighting.egrid_2020_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using egrid 2020 state emissions intensity	""
out.emissions.electricity.interior_lighting.egrid_2020_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using egrid 2020 subregion emissions intensity	""
out.emissions.electricity.interior_lighting.egrid_2021_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using egrid 2021 state emissions intensity	""
out.emissions.electricity.interior_lighting.egrid_2021_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using egrid 2021 subregion emissions intensity	""
out.emissions.electricity.interior_lighting.lrmer_95_decarb_by_2035_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2023	""
out.emissions.electricity.interior_lighting.lrmer_95_decarb_by_2035_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2025	""
out.emissions.electricity.interior_lighting.lrmer_95_decarb_by_2035_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 25 years starting in 2025	""
out.emissions.electricity.interior_lighting.lrmer_95_decarb_by_2035_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 30 years starting in 2023	""
out.emissions.electricity.interior_lighting.lrmer_95_decarb_by_2050_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 15 years starting in 2023	""
out.emissions.electricity.interior_lighting.lrmer_95_decarb_by_2050_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 30 years starting in 2023	""
out.emissions.electricity.interior_lighting.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_high_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.interior_lighting.lrmer_high_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_high_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.interior_lighting.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.interior_lighting.lrmer_low_re_cost_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2025	""
out.emissions.electricity.interior_lighting.lrmer_low_re_cost_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_low_re_cost levelized over 25 years starting in 2025	""
out.emissions.electricity.interior_lighting.lrmer_low_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_low_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.interior_lighting.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2023	""
out.emissions.electricity.interior_lighting.lrmer_mid_case_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2025	""
out.emissions.electricity.interior_lighting.lrmer_mid_case_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_mid_case levelized over 25 years starting in 2025	""
out.emissions.electricity.interior_lighting.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the interior_lighting end use, using Cambium 2022 lrmer_mid_case levelized over 30 years starting in 2023	""
out.emissions.electricity.lrmer_95_decarb_by_2035_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_95_decarb_by_2035_15 levelized over 15 years starting in 2023	""
out.emissions.electricity.lrmer_95_decarb_by_2035_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_95_decarb_by_2035_15 levelized over 15 years starting in 2025	""
out.emissions.electricity.lrmer_95_decarb_by_2035_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_95_decarb_by_2035_15 levelized over 25 years starting in 2025	""
out.emissions.electricity.lrmer_95_decarb_by_2035_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_95_decarb_by_2035_30 levelized over 15 years starting in 2023	""
out.emissions.electricity.lrmer_95_decarb_by_2050_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_95_decarb_by_2050_15 levelized over 15 years starting in 2023	""
out.emissions.electricity.lrmer_95_decarb_by_2050_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_95_decarb_by_2050_30 levelized over 15 years starting in 2023	""
out.emissions.electricity.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_high_re_cost_15 levelized over 15 years starting in 2023	""
out.emissions.electricity.lrmer_high_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_high_re_cost_30 levelized over 15 years starting in 2023	""
out.emissions.electricity.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_low_re_cost_15 levelized over 15 years starting in 2023	""
out.emissions.electricity.lrmer_low_re_cost_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_low_re_cost_15 levelized over 15 years starting in 2025	""
out.emissions.electricity.lrmer_low_re_cost_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_low_re_cost_15 levelized over 25 years starting in 2025	""
out.emissions.electricity.lrmer_low_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_low_re_cost_30 levelized over 15 years starting in 2023	""
out.emissions.electricity.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_mid_case_15 levelized over 15 years starting in 2023	""
out.emissions.electricity.lrmer_mid_case_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_mid_case_30 levelized over 15 years starting in 2025	""
out.emissions.electricity.lrmer_mid_case_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_mid_case_30 levelized over 25 years starting in 2025	""
out.emissions.electricity.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity use, using Cambium 2022 lrmer_mid_case_30 levelized over 15 years starting in 2023	""
out.emissions.electricity.refrigeration.aer_95_decarb_by_2035_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 aer_95_decarb_by_2035 non-levelized values from 2023	""
out.emissions.electricity.refrigeration.aer_95_decarb_by_2050_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 aer_95_decarb_by_2050 non-levelized values from 2023	""
out.emissions.electricity.refrigeration.aer_high_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 aer_high_re_cost non-levelized values from 2023	""
out.emissions.electricity.refrigeration.aer_low_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 aer_low_re_cost non-levelized values from 2023	""
out.emissions.electricity.refrigeration.aer_mid_case_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 aer_mid_case non-levelized values from 2023	""
out.emissions.electricity.refrigeration.egrid_2018_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using egrid 2018 state emissions intensity	""
out.emissions.electricity.refrigeration.egrid_2018_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using egrid 2018 subregion emissions intensity	""
out.emissions.electricity.refrigeration.egrid_2019_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using egrid 2019 state emissions intensity	""
out.emissions.electricity.refrigeration.egrid_2019_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using egrid 2019 subregion emissions intensity	""
out.emissions.electricity.refrigeration.egrid_2020_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using egrid 2020 state emissions intensity	""
