field_name	field_location	data_type	units	field_description	allowable_enumeration
in.hvac_combined_type	metadata	string		A combination of the HVAC ventilation, heating, and cooling categorizations	Central Single-zone RTU_ASHP_ASHP|Central Multi-zone VAV RTU_District_ACC|Central Multi-zone VAV RTU_Furnace_DX|DOAS+Zone terminal equipment_GSHP_GSHP|Central Multi-zone VAV RTU_Boiler _DX|Zone terminal equipment_Electric Resistance_DX|Central Single-zone RTU_District_DX|Zone terminal equipment_Boiler _DX|None_Electric Resistance_None|Zone terminal equipment_ASHP_ASHP|Central Single-zone RTU_Boiler _Evaporative Cooling|Central Single-zone RTU_Electric Resistance_District|Central Multi-zone VAV RTU_Electric Resistance_WCC|Central Multi-zone VAV RTU_Boiler _WCC|DOAS+Zone terminal equipment_WSHP_WSHP|DOAS+Zone terminal equipment_Boiler _ACC|Central Single-zone RTU_Electric Resistance_DX|DOAS+Zone terminal equipment_Boiler _WCC|Zone terminal equipment_Furnace_DX|Central Multi-zone VAV RTU_Electric Resistance_ACC|Central Multi-zone VAV RTU_District_DX|Residential forced air_Furnace_None|Central Multi-zone VAV RTU_Electric Resistance_District|DOAS+Zone terminal equipment_District_ACC|DOAS+Zone terminal equipment_Electric Resistance_ACC|DOAS+Zone terminal equipment_Electric Resistance_District|Central Multi-zone VAV RTU_Electric Resistance_DX|Central Multi-zone VAV RTU_District_WCC|DOAS+Zone terminal equipment_ASHP_ASHP|Central Single-zone RTU_Boiler _DX|Central Multi-zone VAV RTU_District_District|DOAS+Zone terminal equipment_Electric Resistance_WCC|Central Multi-zone VAV RTU_Boiler _District|DOAS+Zone terminal equipment_District_District|Residential forced air_Furnace_DX|Central Single-zone RTU_Electric Resistance_Evaporative Cooling|DOAS+Zone terminal equipment_District_WCC|Central Single-zone RTU_Furnace_Evaporative Cooling|DOAS+Zone terminal equipment_Boiler _District|Zone terminal equipment_Furnace_None|Central Multi-zone VAV RTU_Boiler _ACC|Central Single-zone RTU_Furnace_DX
in.hvac_cool_type	metadata	string		A basic categorization of the HVAC cooling type	None|ASHP|DX|Evaporative Cooling|WSHP|WCC|ACC|District|GSHP
in.hvac_heat_type	metadata	string		A basic categorization of the HVAC heating type	WSHP|Boiler |District|Furnace|ASHP|Electric Resistance|GSHP
in.hvac_night_variability	metadata	string		Specifies the HVAC nighttime hvac operation used in model, which impacts fan and ventialtion behavior during unnoccupied times	night_fanon_vent|default_nochange|night_fancycle_vent|night_fancycle_novent
in.hvac_system_type	metadata	string		Building primary HVAC system type	DOAS with fan coil district chilled water with boiler|PSZ-AC with gas coil|VAV air-cooled chiller with gas boiler reheat|PSZ-AC with district hot water|VAV air-cooled chiller with district hot water reheat|PSZ-HP|PVAV with gas heat with electric reheat|PTAC with electric coil|PTAC with gas boiler|DOAS with water source heat pumps with ground source heat pump|PVAV with gas boiler reheat|PTHP|Direct evap coolers with baseboard gas boiler|Baseboard electric|PSZ-AC district chilled water with electric coil|VAV chiller with gas boiler reheat|VAV chiller with PFP boxes|VAV air-cooled chiller with PFP boxes|DOAS with water source heat pumps cooling tower with boiler|DOAS with fan coil air-cooled chiller with boiler|PSZ-AC with electric coil|DOAS with fan coil chiller with boiler|PTAC with gas coil|PVAV with district hot water reheat|VAV district chilled water with PFP boxes|DOAS with fan coil district chilled water with baseboard electric|DOAS with fan coil air-cooled chiller with district hot water|Residential forced air furnace|DOAS with fan coil air-cooled chiller with baseboard electric|PVAV with PFP boxes|VAV district chilled water with district hot water reheat|VAV chiller with district hot water reheat|DOAS with VRF|PSZ-AC with gas boiler|DOAS with fan coil chiller with district hot water|DOAS with fan coil chiller with baseboard electric|DOAS with fan coil district chilled water with district hot water|VAV district chilled water with gas boiler reheat|Gas unit heaters|Direct evap coolers with forced air furnace|Direct evap coolers with baseboard electric|Residential AC with residential forced air furnace
in.hvac_vent_type	metadata	string		A basic categorization of the HVAC ventilation type	None|Central Single-zone RTU|Zone terminal equipment|Central Multi-zone VAV RTU|Residential forced air|DOAS+Zone terminal equipment
in.interior_lighting_generation	metadata	string		The technology used for interior lighting in the building	gen5_led|gen2_t8_halogen|gen4_led|gen3_t5_cfl|gen1_t12_incandescent
in.number_of_stories	metadata	float		Building number of stories above grade	""
in.number_stories	metadata	string		Specifies the number of stories of the building	over_25
in.ownership_type	metadata	string		Type of organization or legal entity that owns the building	federal|leased|local|state|owner_occupied
in.party_responsible_for_operation	metadata	string		Who is responsible for the operation of the energy systems in the building	building_owner_or_tenant|building_owner|prop_manager|other
in.purchase_input_responsibility	metadata	string		Who has the most direct input on decisions regarding pruchases of energy-related equipment	building_owner_or_tenant|building_owner|prop_manager|other
in.rotation	metadata	float	degrees	Building Rotation off of North axis (positive value is clockwise)	""
in.service_water_heating_fuel	metadata	string		Building primary service water heating fuel source	FuelOil|NaturalGas|Electricity|Propane|DistrictHeating
in.tstat_clg_delta_f	metadata	float	delta_f	Cooling thermostat unnoccupied setpoint temperature delta from primary occupied cooling setpoint. A value of '999' indicates default values were used for model	""
in.tstat_clg_sp_f	metadata	float	f	Cooling thermostat occupied setpoint. A value of '999' indicates default values were used for model	""
in.tstat_htg_delta_f	metadata	float	delta_f	Heating thermostat unnoccupied setpoint temperature delta from primary occupied heating setpoint. A value of '999' indicates default values were used for model	""
in.tstat_htg_sp_f	metadata	float	f	Heating thermostat occupied setpoint. A value of '999' indicates default values were used for model	""
in.vintage	metadata	string		A roughly decadal binning of building construction corresponding to CBECS 2018 vintage bins	1970 to 1979|1980 to 1989|1946 to 1959|1960 to 1969|2013 to 2018|Before 1946|1990 to 1999|2000 to 2012
in.wall_construction_type	metadata	string		The type of construction used for exterior walls	Mass|Metal Building|SteelFramed|WoodFramed
in.weather_file_2018	metadata	string		Weather file used for the 2018 AMY simulations	USA_TX_Valley.Intl.722505_2018.epw|USA_NV_Derby.Fld.725805_2018.epw|USA_NH_Concord.Municipal.726050_2018.epw|USA_MO_Charles.B.Wheeler.D.724463_2018.epw|USA_TX_Childress.Municipal.723604_2018.epw|USA_MI_Charlevoix.Muni.727434_2018.epw|USA_CA_C.M.Schulz.Sonoma.Co.724957_2018.epw|USA_MI_Port.Hope.725386_2018.epw|USA_WI_Richard.I.Bong.726427_2018.epw|USA_CA_Lancaster.Fox.Field.723816_2018.epw|...too many to list
in.weather_file_tmy3	metadata	string		Weather file used for the TMY3 simulations	Killeen_Muni_Awos|Martinsville|Bakersfield_Meadows_Field|Port_Arthur_Jefferson_County|Bozeman_Gallatin_Field|Redding_Municipal_Arpt|Elizabeth_City_Coast_Guard_Ai|Rockland_Knox_Awos|Univ_Of_Illinois_Wi_Bondville|Waterville_Awos|...too many to list
in.weekday_opening_time	metadata	float	hr	Building weekday start hour which impacts the start time of schedules	""
in.weekday_operating_hours	metadata	float	hr	Building duration of weekday hours of operation which influences duration of schedules	""
in.weekend_opening_time	metadata	float	hr	Building weekend start hour which impacts the start time of schedules	""
in.weekend_operating_hours	metadata	float	hr	Building duration of weekend hours of operation which influences duration of schedules	""
in.window_to_wall_ratio_category	metadata	string		The bin describing the building's window-to-wall ratio	11_25pct|51_75pct|_1pct|76_100pct|2_10pct|26_50pct
